name,age,team,position,TOI,season
Alexander Mogilny,28,VAN,RW,997.9166666666666,1998
Rick Tocchet,33,PHX,RW,1186.45,1998
Alexei Zhitnik,25,BUF,D,2076.883333333333,1998
Donald Audette,28,BUF,RW,1262.9666666666667,1998
Andrew Cassels,28,CGY,C,1475.8666666666666,1998
Vladimir Malakhov,29,MTL,D,1658.25,1998
Marty McInnis,27,CGY,LW,1418.3333333333333,1998
Anson Carter,23,BOS,C,1347.8666666666666,1998
Craig Conroy,26,STL,RW,1269.65,1998
Adam Deadmarsh,22,COL,RW,1356.0666666666666,1998
Brian Savage,26,MTL,RW,965.3166666666667,1998
Bryan Smolinski,26,NYI,C,1371.1166666666666,1998
RÃ³bert Å vehla,29,FLA,D,1987.8166666666666,1998
Dmitri Mironov,32,2TM,D,1830.15,1998
Dmitri Mironov,32,MDA,D,1606.3,1998
Dmitri Mironov,32,DET,D,223.85,1998
Janne Niinimaa,22,2TM,D,1596.1833333333334,1998
Janne Niinimaa,22,PHI,D,1366.3833333333334,1998
Janne Niinimaa,22,EDM,D,229.8,1998
John MacLean,33,2TM,RW,1365.0166666666667,1998
John MacLean,33,NJD,RW,477.23333333333335,1998
John MacLean,33,SJS,RW,887.7833333333333,1998
Doug Brown,33,DET,C,1138.0833333333333,1998
Chris Chelios,36,CHI,D,2053.0333333333333,1998
Ãric DazÃ©,22,CHI,RW,1375.5,1998
Trent Klatt,27,PHI,RW,1458.35,1998
Jere Lehtinen,24,DAL,RW,1356.55,1998
Martin Straka,25,PIT,C,1361.8666666666666,1998
Gary Suter,33,CHI,D,1692.6,1998
Alexandre Daigle,22,2TM,RW,1091.7333333333333,1998
Alexandre Daigle,22,OTT,RW,559.2166666666667,1998
Alexandre Daigle,22,PHI,RW,532.5166666666667,1998
Travis Green,27,2TM,C,1411.55,1998
Travis Green,27,NYI,C,989.7166666666667,1998
Travis Green,27,MDA,C,421.8333333333333,1998
Jim Campbell,24,STL,RW,1124.5666666666666,1998
Owen Nolan,25,SJS,RW,1384.5666666666666,1998
Kevin Stevens,32,NYR,LW,1208.3833333333334,1998
Roman HamrlÃ­k,23,2TM,D,1849.7666666666667,1998
Roman HamrlÃ­k,23,TBL,D,816.6,1998
Roman HamrlÃ­k,23,EDM,D,1033.1666666666667,1998
Mike Sillinger,26,2TM,C,1104.8666666666666,1998
Mike Sillinger,26,VAN,C,635.6833333333333,1998
Mike Sillinger,26,PHI,C,469.18333333333334,1998
Rob Brown,29,PIT,RW,1277.5166666666667,1998
Dallas Drake,28,PHX,RW,938.1833333333333,1998
Kenny JÃ¶nsson,23,NYI,D,1949.7666666666667,1998
Michael Peca,23,BUF,C,1202.4,1998
Luc Robitaille,31,LAK,LW,1018.7,1998
German Titov,32,CGY,C,1294.9833333333333,1998
Paul Ysebaert,31,TBL,C,1421.5666666666666,1998
Ted Donato,28,BOS,LW,1196.4333333333334,1998
Igor Korolev,27,TOR,RW,1217.3333333333333,1998
Scott Mellanby,31,FLA,RW,1348.7666666666667,1998
Jeff O'Neill,21,CAR,C,1182.3166666666666,1998
Jason Dawe,24,2TM,RW,1330.4666666666667,1998
Jason Dawe,24,BUF,RW,1151.7,1998
Jason Dawe,24,NYI,RW,178.76666666666668,1998
Bill Guerin,27,2TM,RW,1053.0833333333333,1998
Bill Guerin,27,NJD,RW,271.73333333333335,1998
Bill Guerin,27,EDM,RW,781.35,1998
Craig Johnson,25,LAK,RW,1126.7666666666667,1998
Mikael Renberg,25,TBL,RW,1193.5666666666666,1998
Valeri Bure,23,2TM,RW,1007.4833333333333,1998
Valeri Bure,23,MTL,RW,740.2,1998
Valeri Bure,23,CGY,RW,267.28333333333336,1998
Trevor Linden,27,2TM,RW,1350.95,1998
Trevor Linden,27,VAN,RW,811.05,1998
Trevor Linden,27,NYI,RW,539.9,1998
Patrice Brisebois,27,MTL,D,1729.3333333333333,1998
Patrik EliÃ¡Å¡,21,NJD,LW,1111.25,1998
Garry Galley,34,LAK,D,1502.0,1998
Darren McCarty,25,DET,RW,1263.2833333333333,1998
Mathieu Schneider,28,TOR,D,1857.2,1998
Ray Sheppard,31,2TM,RW,1138.9666666666667,1998
Ray Sheppard,31,FLA,RW,957.2,1998
Ray Sheppard,31,CAR,RW,181.76666666666668,1998
Radek DvoÅÃ¡k,20,FLA,LW,918.9666666666667,1998
Robert Kron,30,CAR,C,1374.9166666666667,1998
Michael Nylander,25,CGY,C,998.9,1998
Chris Pronger,23,STL,D,2029.3666666666666,1998
Petr SÃ½kora,21,NJD,C,902.3333333333334,1998
Tom Chorske,31,NYI,LW,1303.4,1998
Adam Graves,29,NYR,LW,1455.4333333333334,1998
Brian Holzinger,25,BUF,C,1239.3833333333334,1998
Calle Johansson,30,WSH,D,1803.4,1998
Igor Kravchuk,31,OTT,D,1865.3833333333334,1998
Todd Marchant,24,EDM,LW,1293.4666666666667,1998
Alexander Selivanov,26,TBL,LW,1192.3666666666666,1998
Jason Woolley,28,BUF,D,1261.55,1998
Steve Chiasson,30,CAR,D,1473.85,1998
Steve Konowalchuk,25,WSH,LW,1311.7833333333333,1998
Martin Lapointe,24,DET,RW,1157.2333333333333,1998
Dave Manson,31,MTL,D,1772.85,1998
Markus NÃ¤slund,24,VAN,LW,956.6,1998
Derek Plante,27,BUF,C,1268.3,1998
Greg Johnson,26,2TM,C,1300.2333333333333,1998
Greg Johnson,26,PIT,C,62.1,1998
Greg Johnson,26,CHI,C,1238.1333333333334,1998
Martin GÃ©linas,27,2TM,LW,1041.6,1998
Martin GÃ©linas,27,VAN,LW,343.6333333333333,1998
Martin GÃ©linas,27,CAR,LW,697.9666666666667,1998
Andreas Dackell,25,OTT,RW,1433.15,1998
Ãric Desjardins,28,PHI,D,1805.3666666666666,1998
Fredrik Olausson,31,PIT,D,1585.3166666666666,1998
Ryan Smyth,21,EDM,LW,1155.3,1998
Scott Young,30,MDA,RW,1304.7,1998
Dainius Zubrus,19,PHI,RW,1059.65,1998
Jason Arnott,23,2TM,RW,1306.7333333333333,1998
Jason Arnott,23,EDM,RW,685.15,1998
Jason Arnott,23,NJD,RW,621.5833333333334,1998
Todd Bertuzzi,22,2TM,LW,952.3166666666667,1998
Todd Bertuzzi,22,NYI,LW,585.95,1998
