season,team,GF,GA,GP
2014,Toronto Maple Leafs,231.0,256.0,82.0
2014,Florida Panthers,196.0,268.0,82.0
2014,Buffalo Sabres,157.0,248.0,82.0
2014,Pittsburgh Penguins,249.0,207.0,82.0
2014,New York Rangers,218.0,193.0,82.0
2014,Philadelphia Flyers,236.0,235.0,82.0
2014,Columbus Blue Jackets,231.0,216.0,82.0
2014,Washington Capitals,235.0,240.0,82.0
2014,New Jersey Devils,197.0,208.0,82.0
2014,Carolina Hurricanes,207.0,230.0,82.0
2014,New York Islanders,225.0,267.0,82.0
2015,St. Louis Blues,248.0,201.0,82.0
2015,Nashville Predators,232.0,208.0,82.0
2015,Chicago Blackhawks,229.0,189.0,82.0
2015,Minnesota Wild,231.0,201.0,82.0
2015,Winnipeg Jets,230.0,210.0,82.0
2015,Dallas Stars,261.0,260.0,82.0
2015,Colorado Avalanche,219.0,227.0,82.0
2015,Anaheim Ducks,236.0,226.0,82.0
2015,Vancouver Canucks,242.0,222.0,82.0
2015,Calgary Flames,241.0,216.0,82.0
2015,Los Angeles Kings,220.0,205.0,82.0
2015,San Jose Sharks,228.0,232.0,82.0
2015,Edmonton Oilers,198.0,283.0,82.0
2015,Arizona Coyotes,170.0,272.0,82.0
2015,Montreal Canadiens,221.0,189.0,82.0
2015,Tampa Bay Lightning,262.0,211.0,82.0
2015,Detroit Red Wings,235.0,221.0,82.0
2015,Ottawa Senators,238.0,215.0,82.0
2015,Boston Bruins,213.0,211.0,82.0
2015,Florida Panthers,206.0,223.0,82.0
2015,Toronto Maple Leafs,211.0,262.0,82.0
2015,Buffalo Sabres,161.0,274.0,82.0
2015,New York Rangers,252.0,192.0,82.0
2015,Washington Capitals,242.0,203.0,82.0
2015,New York Islanders,252.0,230.0,82.0
2015,Pittsburgh Penguins,221.0,210.0,82.0
2015,Columbus Blue Jackets,236.0,250.0,82.0
2015,Philadelphia Flyers,215.0,234.0,82.0
2015,New Jersey Devils,181.0,216.0,82.0
2015,Carolina Hurricanes,188.0,226.0,82.0
2016,Dallas Stars,267.0,230.0,82.0
2016,St. Louis Blues,224.0,201.0,82.0
2016,Chicago Blackhawks,235.0,209.0,82.0
2016,Nashville Predators,228.0,215.0,82.0
2016,Minnesota Wild,216.0,206.0,82.0
2016,Colorado Avalanche,216.0,240.0,82.0
2016,Winnipeg Jets,215.0,239.0,82.0
2016,Anaheim Ducks,218.0,192.0,82.0
2016,Los Angeles Kings,225.0,195.0,82.0
2016,San Jose Sharks,241.0,210.0,82.0
2016,Arizona Coyotes,209.0,245.0,82.0
2016,Calgary Flames,231.0,260.0,82.0
2016,Vancouver Canucks,191.0,243.0,82.0
2016,Edmonton Oilers,203.0,245.0,82.0
2016,Florida Panthers,239.0,203.0,82.0
2016,Tampa Bay Lightning,227.0,201.0,82.0
2016,Detroit Red Wings,211.0,224.0,82.0
2016,Boston Bruins,240.0,230.0,82.0
2016,Ottawa Senators,236.0,247.0,82.0
2016,Montreal Canadiens,221.0,236.0,82.0
2016,Buffalo Sabres,201.0,222.0,82.0
2016,Toronto Maple Leafs,198.0,246.0,82.0
2016,Washington Capitals,252.0,193.0,82.0
2016,Pittsburgh Penguins,245.0,203.0,82.0
2016,New York Rangers,236.0,217.0,82.0
2016,New York Islanders,232.0,216.0,82.0
2016,Philadelphia Flyers,214.0,218.0,82.0
2016,Carolina Hurricanes,198.0,226.0,82.0
2016,New Jersey Devils,184.0,208.0,82.0
2016,Columbus Blue Jackets,219.0,252.0,82.0
2017,Chicago Blackhawks,244.0,213.0,82.0
2017,Minnesota Wild,266.0,208.0,82.0
2017,St. Louis Blues,235.0,218.0,82.0
2017,Nashville Predators,240.0,224.0,82.0
2017,Winnipeg Jets,249.0,256.0,82.0
2017,Dallas Stars,223.0,262.0,82.0
2017,Colorado Avalanche,166.0,278.0,82.0
2017,Anaheim Ducks,223.0,200.0,82.0
2017,Edmonton Oilers,247.0,212.0,82.0
2017,San Jose Sharks,221.0,201.0,82.0
2017,Calgary Flames,226.0,221.0,82.0
2017,Los Angeles Kings,201.0,205.0,82.0
2017,Arizona Coyotes,197.0,260.0,82.0
2017,Vancouver Canucks,182.0,243.0,82.0
2017,Montreal Canadiens,226.0,200.0,82.0
2017,Ottawa Senators,212.0,214.0,82.0
2017,Boston Bruins,234.0,212.0,82.0
2017,Toronto Maple Leafs,251.0,242.0,82.0
2017,Tampa Bay Lightning,234.0,227.0,82.0
2017,Florida Panthers,210.0,237.0,82.0
2017,Detroit Red Wings,207.0,244.0,82.0
2017,Buffalo Sabres,201.0,237.0,82.0
2017,Washington Capitals,263.0,182.0,82.0
2017,Pittsburgh Penguins,282.0,234.0,82.0
2017,Columbus Blue Jackets,249.0,195.0,82.0
2017,New York Rangers,256.0,220.0,82.0
2017,New York Islanders,241.0,242.0,82.0
2017,Philadelphia Flyers,219.0,236.0,82.0
2017,Carolina Hurricanes,215.0,236.0,82.0
2017,New Jersey Devils,183.0,244.0,82.0
2018,Nashville Predators,267.0,211.0,82.0
2018,Winnipeg Jets,277.0,218.0,82.0
2018,Minnesota Wild,253.0,232.0,82.0
2018,Colorado Avalanche,257.0,237.0,82.0
2018,St. Louis Blues,226.0,222.0,82.0
2018,Dallas Stars,235.0,225.0,82.0
2018,Chicago Blackhawks,229.0,256.0,82.0
2018,Vegas Golden Knights,272.0,228.0,82.0
2018,Anaheim Ducks,235.0,216.0,82.0
2018,San Jose Sharks,252.0,229.0,82.0
2018,Los Angeles Kings,239.0,203.0,82.0
2018,Calgary Flames,218.0,248.0,82.0
2018,Edmonton Oilers,234.0,263.0,82.0
2018,Vancouver Canucks,218.0,264.0,82.0
2018,Arizona Coyotes,208.0,256.0,82.0
2018,Tampa Bay Lightning,296.0,236.0,82.0
2018,Boston Bruins,270.0,214.0,82.0
2018,Toronto Maple Leafs,277.0,232.0,82.0
2018,Florida Panthers,248.0,246.0,82.0
2018,Detroit Red Wings,217.0,255.0,82.0
2018,Montreal Canadiens,209.0,264.0,82.0
2018,Ottawa Senators,221.0,291.0,82.0
2018,Buffalo Sabres,199.0,280.0,82.0
2018,Washington Capitals,259.0,239.0,82.0
2018,Pittsburgh Penguins,272.0,250.0,82.0
2018,Philadelphia Flyers,251.0,243.0,82.0
2018,Columbus Blue Jackets,242.0,230.0,82.0
2018,New Jersey Devils,248.0,244.0,82.0
2018,Carolina Hurricanes,228.0,256.0,82.0
2018,New York Islanders,264.0,296.0,82.0
2018,New York Rangers,231.0,268.0,82.0
2019,Nashville Predators,240.0,214.0,82.0
2019,Winnipeg Jets,272.0,244.0,82.0
2019,St. Louis Blues,247.0,223.0,82.0
2019,Dallas Stars,210.0,202.0,82.0
2019,Colorado Avalanche,260.0,246.0,82.0
2019,Chicago Blackhawks,270.0,292.0,82.0
2019,Minnesota Wild,211.0,237.0,82.0
2019,Calgary Flames,289.0,227.0,82.0
2019,San Jose Sharks,289.0,261.0,82.0
2019,Vegas Golden Knights,249.0,230.0,82.0
2019,Arizona Coyotes,213.0,223.0,82.0
2019,Vancouver Canucks,225.0,254.0,82.0
2019,Anaheim Ducks,199.0,251.0,82.0
2019,Edmonton Oilers,232.0,274.0,82.0
2019,Los Angeles Kings,202.0,263.0,82.0
2019,Tampa Bay Lightning,325.0,222.0,82.0
2019,Boston Bruins,259.0,215.0,82.0
2019,Toronto Maple Leafs,286.0,251.0,82.0
2019,Montreal Canadiens,249.0,236.0,82.0
2019,Florida Panthers,267.0,280.0,82.0
2019,Buffalo Sabres,226.0,271.0,82.0
2019,Detroit Red Wings,227.0,277.0,82.0
2019,Ottawa Senators,242.0,302.0,82.0
2019,Washington Capitals,278.0,249.0,82.0
2019,New York Islanders,228.0,196.0,82.0
2019,Pittsburgh Penguins,273.0,241.0,82.0
2019,Carolina Hurricanes,245.0,223.0,82.0
2019,Columbus Blue Jackets,258.0,232.0,82.0
2019,Philadelphia Flyers,244.0,281.0,82.0
2019,New York Rangers,227.0,272.0,82.0
2019,New Jersey Devils,222.0,275.0,82.0
