season,team,GF,GA,GP
1999,Colorado Avalanche,239.0,205.0,82.0
1999,Edmonton Oilers,230.0,226.0,82.0
1999,Calgary Flames,211.0,234.0,82.0
1999,Vancouver Canucks,192.0,258.0,82.0
1999,Dallas Stars,236.0,168.0,82.0
1999,Phoenix Coyotes,205.0,197.0,82.0
1999,Mighty Ducks of Anaheim,215.0,206.0,82.0
1999,San Jose Sharks,196.0,191.0,82.0
1999,Los Angeles Kings,189.0,222.0,82.0
1999,New Jersey Devils,248.0,196.0,82.0
1999,Philadelphia Flyers,231.0,196.0,82.0
1999,Pittsburgh Penguins,242.0,225.0,82.0
1999,New York Rangers,217.0,227.0,82.0
1999,New York Islanders,194.0,244.0,82.0
1999,Ottawa Senators,239.0,179.0,82.0
1999,Toronto Maple Leafs,268.0,231.0,82.0
1999,Boston Bruins,214.0,181.0,82.0
1999,Buffalo Sabres,207.0,175.0,82.0
1999,Montreal Canadiens,184.0,209.0,82.0
1999,Carolina Hurricanes,210.0,202.0,82.0
1999,Florida Panthers,210.0,228.0,82.0
1999,Washington Capitals,200.0,218.0,82.0
1999,Tampa Bay Lightning,179.0,292.0,82.0
2000,St. Louis Blues,248.0,165.0,82.0
2000,Detroit Red Wings,278.0,210.0,82.0
2000,Chicago Blackhawks,242.0,245.0,82.0
2000,Nashville Predators,199.0,240.0,82.0
2000,Colorado Avalanche,233.0,201.0,82.0
2000,Edmonton Oilers,226.0,212.0,82.0
2000,Vancouver Canucks,227.0,237.0,82.0
2000,Calgary Flames,211.0,256.0,82.0
2000,Dallas Stars,211.0,184.0,82.0
2000,Los Angeles Kings,245.0,228.0,82.0
2000,Phoenix Coyotes,232.0,228.0,82.0
2000,San Jose Sharks,225.0,214.0,82.0
2000,Mighty Ducks of Anaheim,217.0,227.0,82.0
2000,Philadelphia Flyers,237.0,179.0,82.0
2000,New Jersey Devils,251.0,203.0,82.0
2000,Pittsburgh Penguins,241.0,236.0,82.0
2000,New York Rangers,218.0,246.0,82.0
2000,New York Islanders,194.0,275.0,82.0
2000,Toronto Maple Leafs,246.0,222.0,82.0
2000,Ottawa Senators,244.0,210.0,82.0
2000,Buffalo Sabres,213.0,204.0,82.0
2000,Montreal Canadiens,196.0,194.0,82.0
2000,Boston Bruins,210.0,248.0,82.0
2000,Washington Capitals,227.0,194.0,82.0
2000,Florida Panthers,244.0,209.0,82.0
2000,Carolina Hurricanes,217.0,216.0,82.0
2000,Tampa Bay Lightning,204.0,310.0,82.0
2000,Atlanta Thrashers,170.0,313.0,82.0
2001,Detroit Red Wings,253.0,202.0,82.0
2001,St. Louis Blues,249.0,195.0,82.0
2001,Nashville Predators,186.0,200.0,82.0
2001,Chicago Blackhawks,210.0,246.0,82.0
2001,Columbus Blue Jackets,190.0,233.0,82.0
2001,Colorado Avalanche,270.0,192.0,82.0
2001,Edmonton Oilers,243.0,222.0,82.0
2001,Vancouver Canucks,239.0,238.0,82.0
2001,Calgary Flames,197.0,236.0,82.0
2001,Minnesota Wild,168.0,210.0,82.0
2001,Dallas Stars,241.0,187.0,82.0
2001,San Jose Sharks,217.0,192.0,82.0
2001,Los Angeles Kings,252.0,228.0,82.0
2001,Phoenix Coyotes,214.0,212.0,82.0
2001,Mighty Ducks of Anaheim,188.0,245.0,82.0
2001,New Jersey Devils,295.0,195.0,82.0
